timestamp,model,total_tasks,k,pass@1_first_count,pass@1_first_rate_%,pass@1_estimated_%,pass@5_estimated_%,pass@k_estimated_%,any_pass_count,any_pass_rate_%,successful_tasks_count,avg_code_bleu,avg_code_bert_f1,avg_runtime_ms,first_pass_avg_code_bleu,first_pass_avg_code_bert_f1
2026-02-01 14:51:12,gemma3:27b,500,5,272,54.40,54.20,61.40,61.40,307,61.40,307,0.4549,0.8740,38.61,0.4547,0.8748
2026-02-01 23:42:05,llama3.3:70b,500,5,309,61.80,58.80,73.20,73.20,366,73.20,366,0.4322,0.8548,39.57,0.4284,0.8483
2026-02-02 19:21:40,gpt-oss:120b,500,5,400,80.00,79.20,83.00,83.00,415,83.00,415,0.3943,0.8031,40.12,0.3930,0.8020
