model,total_tasks,avg_att_to_pass*,p1_cnt,p1_rate*,comp1_cnt,comp1_rate*,p_any_cnt,p_any_rate*,avg_code_bleu,avg_code_bert_f1
gemma3:12b,500,2.9940,232,46.40,383,76.60,274,54.80,0.2349,0.4531
gemma3:27b,500,2.6600,272,54.40,385,77.00,307,61.40,0.2792,0.5371
gpt-oss:20b,500,2.0340,340,68.00,392,78.40,392,78.40,0.3101,0.6326
gpt-oss:120b,500,1.7180,400,80.00,419,83.80,415,83.00,0.3262,0.6657
llama3.1:8b,500,3.6620,129,25.80,356,71.20,205,41.00,0.1789,0.3434
llama3.3:70b,500,2.3100,309,61.80,405,81.00,366,73.20,0.3136,0.6209
