model,total_tasks,compilable_count,compile_rate_%,pass_count,pass_rate_%,avg_duration_s,avg_runtime_ms,avg_code_bleu,avg_codebert_f1
gemma3:12b,100,91,91.00,50,50.00,29.64,46.95,0.3919,0.8142
gemma3:27b,100,90,90.00,60,60.00,21.81,41.76,0.4236,0.8570
gpt-oss:20b,100,93,93.00,73,73.00,60.78,41.27,0.3871,0.8013
gpt-oss:120b,100,96,96.00,88,88.00,43.30,40.46,0.3863,0.8023
llama3:8b,100,65,65.00,16,16.00,26.47,44.51,0.3274,0.7404
llama3.1:8b,100,75,75.00,30,30.00,26.15,54.08,0.3566,0.7384
llama3.1:70b,100,89,89.00,56,56.00,32.64,42.52,0.4063,0.8308
llama3.3:70b,100,95,95.00,67,67.00,34.39,41.77,0.4151,0.8445
